play_id,committing,disadvantaged,decision,committing_position,disadvantaged_position
10334,Brandon Jennings,Andrew Wiggins,CNC,G,F
10335,Ricky Rubio,Justin Holiday,INC,G,F-G
10336,Kristaps Porzingis,Gorgui Dieng,CNC,F-C,C
10337,Karl-Anthony Towns,Brandon Jennings,CNC,C-F,G
10338,Kyle O'Quinn,Karl-Anthony Towns,CC,C-F,C-F
10340,Markieff Morris,Jerami Grant,CNC,F,F
10341,Markieff Morris,Russell Westbrook,CNC,F,G
10342,Markieff Morris,Semaj Christon,CNC,F,G
10343,Kelly Oubre,Russell Westbrook,CNC,F-G,G
10346,John Wall,Russell Westbrook,CNC,G,G
10347,Jerami Grant,Markieff Morris,CNC,F,F
10348,Anthony Morrow,Otto Porter Jr.,CNC,G,F
10349,Russell Westbrook,Bradley Beal,CNC,G,G
10350,Jerami Grant,John Wall,CNC,F,G
10351,Victor Oladipo,Otto Porter Jr.,CNC,G,F
10352,Dwight Howard,Eric Bledsoe,CNC,C-F,G
10355,Tyson Chandler,Kent Bazemore,CNC,C,G-F
10357,Dennis Schroder,Eric Bledsoe,CNC,G,G
10358,Dennis Schroder,Eric Bledsoe,CNC,G,G
10359,Brandon Knight,Tim Hardaway Jr.,CNC,G,G-F
10360,Thabo Sefolosha,Brandon Knight,CC,F-G,G
10361,Tim Hardaway Jr.,Brandon Knight,CC,G-F,G
10362,Tim Hardaway Jr.,Devin Booker,CC,G-F,G
10363,Tyson Chandler,Dennis Schroder,CC,C,G
10364,Dennis Schroder,Eric Bledsoe,CC,G,G
10368,Dwight Powell,Jeremy Lamb,CC,F-C,G-F
10369,Nicolas Batum,Wesley Matthews,IC,G-F,G
10371,Salah Mejri,Kemba Walker,CNC,C,G
10372,Wesley Matthews,Cody Zeller,CNC,G,F-C
10373,Dorian Finney-Smith,Jeremy Lamb,CNC,F,G-F
10374,Salah Mejri,Michael Kidd-Gilchrist,CC,C,F
10375,Harrison Barnes,Kemba Walker,CNC,F,G
10376,Jonathan Gibson,Nicolas Batum,CC,G,G-F
10377,Stephen Curry,James Harden,CNC,G,G
10378,Draymond Green,Eric Gordon,INC,F,G
10379,James Harden,Draymond Green,CC,G,F
10380,James Harden,Klay Thompson,CNC,G,G
10381,Stephen Curry,Sam Dekker,CNC,G,F
10382,Sam Dekker,Kevin Durant,CC,F,F
10385,Draymond Green,James Harden,CNC,F,G
10386,Patrick Beverley,Kevin Durant,CNC,G,F
10387,Draymond Green,Ryan Anderson,CC,F,F
10388,Eric Gordon,Kevin Durant,CC,G,F
10389,James Harden,Stephen Curry,CNC,G,G
10390,Ryan Anderson,Draymond Green,CNC,F,F
10392,Ryan Anderson,Andre Iguodala,CNC,F,G-F
10393,Eric Gordon,Andre Iguodala,CNC,G,G-F
10395,Sam Dekker,Stephen Curry,CNC,F,G
10397,Shaun Livingston,Sam Dekker,CNC,G,F
10398,Draymond Green,Eric Gordon,CNC,F,G
10400,Draymond Green,Sam Dekker,INC,F,F
10401,Trevor Ariza,Draymond Green,CC,F,F
10402,James Harden,Kevin Durant,CNC,G,F
10403,Kevin Durant,Eric Gordon,CNC,F,G
10405,Draymond Green,James Harden,CNC,F,G
10406,Montrezl Harrell,Shaun Livingston,CNC,F-C,G
10407,Klay Thompson,James Harden,CNC,G,G
10408,James Harden,Klay Thompson,CNC,G,G
10409,Montrezl Harrell,Draymond Green,CC,F-C,F
10411,Shaun Livingston,James Harden,CNC,G,G
10412,Kevin Durant,Patrick Beverley,CC,F,G
10414,Kevin Durant,Ryan Anderson,CNC,F,F
10415,Draymond Green,Trevor Ariza,CC,F,F
10418,Nikola Vucevic,Andrew Harrison,CNC,C,G
10419,Tony Allen,Nikola Vucevic,CC,G-F,C
10421,Jeff Green,Tony Allen,CC,F,G-F
10422,Serge Ibaka,Andrew Harrison,CNC,F,G
10423,Marc Gasol,Evan Fournier,CNC,C,G-F
10427,Bismack Biyombo,Marc Gasol,CC,C,C
10428,Tony Allen,Evan Fournier,CNC,G-F,G-F
10429,Serge Ibaka,Tony Allen,CNC,F,G-F
10430,Andrew Harrison,Evan Fournier,CNC,G,G-F
10431,Marc Gasol,Evan Fournier,CNC,C,G-F
10434,Tyler Johnson,Shelvin Mack,CNC,G,G
10436,Joe Johnson,James Johnson,CNC,G-F,F
10439,Shelvin Mack,Goran Dragic,CNC,G,G
10440,Goran Dragic,Rudy Gobert,INC,G,C
10442,Gordon Hayward,Hassan Whiteside,CNC,F,C
10443,Rudy Gobert,James Johnson,CNC,C,F
10444,James Johnson,Gordon Hayward,CNC,F,F
10445,Rodney McGruder,Gordon Hayward,CNC,G,F
10446,Joe Johnson,Tyler Johnson,INC,G-F,G
10448,DeMarcus Cousins,Isaiah Thomas,CC,C,G
10451,DeMarcus Cousins,Isaiah Thomas,CNC,C,G
10452,Rudy Gay,Isaiah Thomas,INC,F-G,G
10453,DeMarcus Cousins,Marcus Smart,CNC,C,G
10454,Marcus Smart,Darren Collison,CC,G,G
10456,DeMarcus Cousins,Avery Bradley,CNC,C,G
10457,Avery Bradley,DeMarcus Cousins,CC,G,C
10458,Darren Collison,Isaiah Thomas,CC,G,G
10459,Rudy Gay,Al Horford,CNC,F-G,C-F
10460,Jae Crowder,DeMarcus Cousins,CNC,F,C
10461,Al Horford,DeMarcus Cousins,CNC,C-F,C
10462,Garrett Temple,Al Horford,CC,G-F,C-F
10464,Kristaps Porzingis,Ricky Rubio,CNC,F-C,G
10466,Ricky Rubio,Kristaps Porzingis,CNC,G,F-C
10467,Zach LaVine,Kyle O'Quinn,CNC,G-F,C-F
10468,Karl-Anthony Towns,Derrick Rose,CNC,C-F,G
10469,Kyle O'Quinn,Karl-Anthony Towns,CNC,C-F,C-F
10470,Nemanja Bjelica,Kristaps Porzingis,CNC,F,F-C
10471,Kristaps Porzingis,Karl-Anthony Towns,CNC,F-C,C-F
10472,Carmelo Anthony,Nemanja Bjelica,CNC,F,F
10473,Zach LaVine,Derrick Rose,CC,G-F,G
10474,Ricky Rubio,Kristaps Porzingis,INC,G,F-C
10475,Kristaps Porzingis,Ricky Rubio,CNC,F-C,G
10477,Nemanja Bjelica,Carmelo Anthony,CNC,F,F
10478,Karl-Anthony Towns,Justin Holiday,CC,C-F,F-G
10479,Carmelo Anthony,Andrew Wiggins,CNC,F,F
10480,Andrew Wiggins,Carmelo Anthony,CC,F,F
10481,LaMarcus Aldridge,Bradley Beal,CC,C-F,G
10482,Marcin Gortat,LaMarcus Aldridge,CNC,C,C-F
10483,LaMarcus Aldridge,Otto Porter Jr.,CNC,C-F,F
10484,Marcin Gortat,Kawhi Leonard,CNC,C,F
10485,Kawhi Leonard,Otto Porter Jr.,CC,F,F
10487,Marcin Gortat,Patty Mills,CNC,C,G
10489,Markieff Morris,Patty Mills,CNC,F,G
10490,Manu Ginobili,John Wall,CNC,G,G
10491,Marcin Gortat,LaMarcus Aldridge,CNC,C,C-F
10492,Manu Ginobili,Otto Porter Jr.,CNC,G,F
10493,Marcin Gortat,LaMarcus Aldridge,CC,C,C-F
